trackIsexplicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,songIsLiked
0,93,99,29,91,99,81,86,99,97,99,0
0,94,99,8,47,99,82,99,99,99,6,1
0,88,98,42,43,99,78,82,99,96,66,1
0,93,99,87,12,99,79,88,99,98,0,0
0,86,93,64,97,99,99,83,99,94,96,1
0,90,99,64,29,99,78,80,99,99,91,0
0,94,98,4,86,99,83,82,98,99,16,1
0,94,99,87,54,99,78,81,99,99,37,1
0,92,99,64,95,99,78,82,99,99,54,0
0,97,99,29,92,99,79,92,99,99,7,1
0,92,99,100,39,99,79,80,99,97,43,1
0,93,99,4,33,99,79,79,99,99,94,1
0,97,99,64,41,99,78,84,99,99,0,1
0,97,99,4,86,99,78,79,99,99,52,1
0,91,99,64,50,99,77,84,99,99,96,1
0,95,98,87,91,99,78,79,96,99,8,0
0,93,99,8,97,99,79,98,99,99,63,0
0,96,99,50,7,99,80,99,99,99,70,1
0,86,91,87,77,99,99,100,99,83,46,1
0,87,94,42,99,96,94,99,99,94,93,1
0,93,92,4,99,99,96,100,99,95,42,1
0,86,86,50,83,99,98,100,89,87,91,1
0,86,94,8,44,99,79,99,99,97,93,1
0,90,98,100,11,99,83,99,99,97,87,0
0,86,95,8,59,99,91,100,99,95,49,0
0,96,98,8,99,99,79,99,99,95,32,1
1,91,87,98,75,99,96,100,99,97,94,1
1,92,86,98,37,99,89,99,93,92,28,0
1,91,97,17,54,99,89,100,99,98,87,0
0,89,97,64,32,99,82,99,99,96,43,0
1,92,99,4,0,99,80,100,99,97,22,0
1,92,98,64,79,99,81,100,99,98,66,1
0,89,96,77,74,99,85,100,97,96,17,1
1,82,97,77,16,98,84,100,99,98,4,0
1,93,81,17,36,99,99,100,99,93,33,1
0,93,84,77,96,98,99,100,97,96,79,1
0,85,89,50,97,96,99,100,99,82,37,1
0,89,91,64,91,98,97,99,99,95,42,1
0,80,89,17,93,99,99,99,97,98,0,1
0,94,97,100,11,99,81,100,99,98,13,0
0,90,84,17,99,99,95,100,99,91,95,1
0,88,90,87,79,98,97,100,99,87,97,0
0,89,81,87,22,99,98,100,96,87,20,0
0,95,93,29,53,99,99,100,99,95,39,0
0,89,85,64,64,99,99,99,87,95,26,1
0,86,84,98,20,99,99,100,99,79,99,1
0,87,85,100,85,99,99,100,99,93,99,0
0,90,89,87,89,98,99,100,99,92,1,1
0,89,89,50,63,99,99,100,96,97,27,1
0,86,88,77,98,99,98,99,99,85,93,0
0,92,82,100,42,99,99,100,97,84,68,1
0,93,93,4,97,99,99,99,96,89,92,1
1,86,84,17,99,99,99,99,99,95,32,1
0,88,82,4,58,99,99,99,99,86,99,0
0,90,92,100,62,99,95,99,99,97,97,0
0,90,87,98,82,99,94,99,99,83,16,1
0,84,88,100,94,99,98,99,99,87,0,0
0,89,90,29,99,99,96,99,99,88,43,0
0,92,87,87,91,99,99,99,99,89,44,0
0,94,83,87,89,96,95,100,88,90,71,1
0,87,94,50,74,99,95,100,99,94,43,1
0,85,96,100,42,99,99,98,99,94,0,1
0,88,97,29,60,99,94,99,99,97,99,1
0,91,93,8,10,99,91,99,97,97,34,0
1,86,90,100,15,99,99,100,99,92,95,0
0,83,99,77,93,99,86,99,99,98,3,0
0,88,92,64,0,99,90,100,99,86,43,0
0,84,80,4,99,98,97,100,99,99,98,1
1,91,86,87,33,96,94,100,99,96,92,0
0,94,88,29,53,97,99,100,99,91,13,1
0,89,88,87,99,99,98,100,99,99,0,0
1,88,89,98,94,99,99,99,99,96,0,1
0,94,86,50,41,97,99,100,99,99,87,0
1,92,81,17,77,99,99,100,98,90,99,0
0,93,94,17,2,99,86,100,99,97,31,0
1,96,85,77,68,98,99,100,99,94,8,0
1,96,95,8,0,99,87,100,99,95,0,1
0,86,85,50,84,99,99,100,98,78,6,0
1,89,91,98,81,99,98,100,99,91,22,0
1,87,89,98,98,99,99,100,99,93,36,0
1,87,91,0,99,99,99,100,99,98,22,1
1,91,88,98,82,99,99,100,99,98,99,0
1,88,87,98,99,99,99,100,98,91,82,0
1,89,94,17,49,99,95,100,99,98,89,0
0,91,84,64,85,99,99,100,97,98,92,1
0,86,83,4,83,99,99,100,99,89,94,1
0,87,89,100,51,99,99,100,99,95,59,1
1,85,89,29,61,98,98,99,99,85,20,1
1,89,88,50,1,99,96,99,99,80,43,1
1,87,88,4,67,99,97,100,99,98,14,1
0,87,92,100,39,99,90,100,99,98,34,0
0,91,94,87,20,99,86,100,99,88,87,1
0,90,86,4,98,99,99,100,99,94,88,1
0,89,90,87,99,99,96,100,99,87,0,1
1,88,86,98,29,94,98,100,99,79,40,0
0,90,93,4,28,99,91,100,99,97,38,1
0,94,90,100,46,98,89,100,99,97,11,1
1,91,90,4,86,99,92,100,99,93,63,0
0,85,94,50,13,99,89,100,95,90,71,1
1,80,94,4,67,97,89,100,99,92,42,1
1,85,94,29,46,99,99,99,99,96,86,1
0,86,88,0,76,99,99,99,99,89,94,1
1,95,81,29,3,99,99,99,80,96,46,1
0,84,97,8,0,99,99,99,99,89,24,1
1,89,89,87,99,99,99,100,94,89,76,0
0,85,91,87,27,98,97,99,99,98,87,0
0,86,93,50,90,99,95,99,99,93,84,0
0,85,95,100,8,99,99,99,98,92,59,0
1,89,92,50,82,99,99,99,99,97,39,1
0,88,93,17,19,99,93,98,99,97,97,0
0,86,97,64,51,99,92,99,98,87,2,1
0,89,91,64,46,99,99,100,99,89,80,0
0,93,99,4,76,98,86,99,98,99,51,1
0,84,88,100,47,99,99,99,97,80,10,0
1,86,96,64,61,99,86,100,99,91,43,1
0,92,85,4,91,99,97,99,95,98,13,0
1,89,85,8,11,98,98,100,97,91,5,0
0,95,89,8,57,98,97,100,97,93,46,0
0,82,97,4,8,99,96,99,99,82,58,0
1,85,92,87,88,99,97,99,94,80,0,1
0,83,93,17,92,99,91,92,99,93,5,0
0,89,89,64,0,99,99,99,99,83,52,0
0,86,93,98,11,99,93,99,99,92,35,0
0,80,87,98,86,99,95,99,99,85,99,0
0,86,87,29,9,99,99,99,99,78,87,0
0,91,83,17,88,99,95,99,99,89,45,0
0,97,79,17,64,99,99,99,98,91,91,1
0,90,94,17,25,99,93,99,99,96,76,0
0,85,88,87,2,99,99,94,97,95,19,0
0,89,82,8,91,99,99,99,99,85,3,0
0,85,94,17,83,99,99,100,99,88,97,1
0,77,93,98,99,99,99,96,99,83,72,1
0,86,94,8,98,99,86,99,99,92,60,0
1,90,89,100,18,99,98,99,99,87,44,1
1,86,93,87,98,99,84,99,98,90,99,1
0,86,91,64,5,97,89,99,99,83,19,1
0,84,93,87,70,99,92,99,99,81,89,1
1,82,96,29,75,99,99,100,99,92,2,1
0,87,92,8,92,99,95,99,99,92,2,1
0,94,99,77,62,99,78,80,98,99,13,1
0,94,99,100,0,99,78,82,99,99,0,0
0,93,99,100,21,99,80,81,99,98,5,0
0,94,99,100,99,99,85,99,99,99,6,0
0,93,99,42,1,99,77,92,99,99,40,1
0,90,99,0,71,99,78,82,99,99,91,0
0,96,99,64,87,99,77,78,99,99,58,1
1,94,80,8,20,99,97,99,99,97,89,1
0,87,96,98,93,96,86,99,99,95,53,0
0,86,99,29,24,99,79,100,99,97,7,1
1,89,83,50,42,97,99,100,97,88,35,1
1,94,85,64,85,97,93,99,99,97,76,0
1,89,89,77,97,99,90,99,99,99,47,0
1,92,91,4,98,96,92,100,99,91,67,0
1,90,92,0,56,95,99,100,99,93,20,1
1,93,99,0,95,99,86,100,99,99,84,0
0,86,96,17,75,99,79,99,99,99,80,1
1,79,88,50,64,99,91,99,99,88,93,0
1,98,81,42,49,99,99,100,95,93,97,0
1,91,86,87,70,99,99,99,88,84,3,0
0,87,92,29,60,99,99,100,99,96,49,0
0,85,96,4,49,99,85,100,99,96,0,0
1,89,88,87,95,99,88,99,99,95,99,1
0,92,92,4,73,99,89,99,95,92,1,1
1,88,94,42,40,99,97,99,99,97,91,0
1,96,92,4,99,99,94,99,99,99,75,1
1,87,92,87,20,98,99,99,96,89,74,0
1,87,82,42,34,99,98,99,99,81,3,1
1,90,87,64,82,99,99,99,89,94,61,0
1,92,93,4,7,99,98,99,85,95,27,0
1,94,89,100,90,99,98,100,93,82,21,0
1,98,93,8,41,99,99,99,99,97,68,1
1,91,91,50,27,99,99,99,97,97,17,1
1,94,89,100,59,99,97,99,92,96,29,1
1,94,90,77,36,99,97,100,91,99,0,0
1,87,87,50,44,99,99,99,99,94,67,0
1,94,90,87,99,99,97,99,83,93,32,0
1,88,83,8,56,97,99,100,99,86,1,1
1,90,91,77,97,98,99,100,93,94,72,1
1,96,86,4,99,92,99,100,93,95,75,1
1,96,86,87,81,96,91,100,94,87,10,1
1,88,82,77,95,95,97,99,97,94,99,1
1,89,94,8,53,99,92,99,98,99,3,1
1,94,82,29,79,96,99,99,99,93,39,1
1,96,93,64,76,93,99,100,94,95,0,1
1,92,86,77,86,95,96,99,89,91,13,1
1,95,95,77,85,98,97,99,90,96,0,0
0,87,89,77,98,99,99,83,99,89,66,0
0,89,93,29,64,99,94,99,99,81,59,1
1,91,96,87,15,98,78,88,98,94,26,0
1,96,89,100,5,99,99,99,99,82,0,0
1,90,96,100,9,99,93,100,99,93,16,0
1,87,87,77,5,99,80,99,99,87,42,1
0,86,99,17,18,99,84,99,99,90,92,1
0,91,91,64,53,99,89,100,99,86,96,0
0,97,99,87,5,99,78,81,99,99,7,1
1,80,90,42,44,95,99,100,95,83,92,0
1,97,92,50,11,99,98,99,97,96,40,0
1,82,89,87,70,99,91,89,99,89,78,1
1,94,85,100,94,95,99,100,98,86,83,1
0,98,98,29,95,99,81,99,98,99,37,1
1,86,94,77,19,99,87,99,99,92,36,0
1,91,97,77,60,99,86,100,99,98,4,1
1,89,97,42,10,99,84,99,99,96,97,1
1,84,94,42,24,99,98,99,99,97,2,1
1,93,92,64,2,98,84,99,99,93,1,1
1,85,94,98,8,99,90,99,99,98,94,1
1,90,98,77,66,99,85,99,99,99,99,1
1,85,92,87,0,99,92,100,99,97,91,1
1,93,93,98,0,93,85,99,99,99,32,0
1,91,92,100,99,98,84,99,99,97,6,0
1,94,92,64,26,99,99,100,94,92,96,0
1,84,92,4,69,98,92,100,99,91,21,1
1,94,98,17,99,99,79,99,99,98,68,1
0,82,97,98,80,99,90,99,99,87,85,1
1,87,79,77,62,99,99,100,96,84,99,0
1,88,79,17,9,99,99,100,86,94,19,0
1,92,81,50,95,96,99,100,89,84,4,0
1,92,93,42,91,99,98,100,97,98,39,1
0,89,81,64,0,99,97,100,99,82,90,1
1,91,90,77,27,97,99,99,90,94,3,1
0,88,89,17,94,99,97,99,98,83,27,0
1,86,92,98,87,99,92,99,90,92,26,0
1,93,95,77,6,99,91,100,96,97,69,1
1,88,92,77,23,99,99,99,99,99,89,1
0,86,94,50,52,97,86,100,95,96,33,1
1,91,96,4,0,99,85,99,98,94,0,0
1,94,92,42,0,95,90,99,91,87,2,0
0,91,99,29,83,99,81,91,99,99,94,1
0,94,99,0,85,99,77,99,99,97,24,0
0,94,99,64,81,99,80,96,99,99,91,1
0,95,99,100,65,99,78,84,99,99,56,0
0,94,99,64,82,99,79,81,99,98,9,0
0,97,99,77,79,99,78,81,99,99,11,0
0,96,99,100,92,99,78,99,99,98,98,0
0,92,99,17,10,99,78,80,99,99,83,1
0,93,99,100,23,99,77,99,99,98,99,1
0,95,99,42,33,99,85,80,99,98,30,1
0,96,99,64,1,99,78,92,99,98,85,0
0,95,99,100,1,99,77,84,99,99,90,0
0,95,99,8,95,99,78,92,99,99,0,0
0,91,98,0,44,99,80,79,97,99,8,1
0,92,99,87,90,99,80,91,99,98,58,1
1,90,95,17,0,99,85,99,99,99,41,1
0,89,97,87,0,99,79,100,98,99,13,1
0,95,99,77,6,99,80,99,99,95,65,1
0,88,96,64,20,99,94,100,99,93,6,1
1,93,86,17,93,95,97,100,99,78,94,1
1,82,88,87,13,96,99,100,99,82,33,1
1,89,93,42,40,98,97,100,99,98,26,1
1,94,86,8,93,99,99,100,99,91,96,1
1,86,88,87,99,99,99,99,99,99,70,1
1,90,92,4,12,97,99,100,99,99,21,1
1,91,95,98,82,96,93,100,98,94,39,1
1,87,92,4,1,96,99,100,99,98,39,1
1,84,86,87,97,98,99,100,99,92,0,0
1,87,88,98,99,99,99,99,99,86,89,1
1,86,95,0,31,99,98,100,99,91,15,1
1,92,87,64,29,98,99,100,99,96,49,1
1,87,83,77,39,98,99,100,99,92,99,1
1,87,88,0,71,99,99,100,99,81,84,1
0,85,94,17,99,99,99,99,99,89,31,0
0,85,98,64,92,99,89,93,99,92,6,1
0,83,97,98,14,99,99,99,99,86,88,0
0,95,91,17,25,99,95,99,98,88,45,0
0,97,93,29,2,99,89,99,99,95,81,1
0,96,98,87,1,99,99,99,98,99,47,0
1,93,99,29,9,99,80,99,97,98,21,1
1,96,87,4,71,99,99,99,99,96,12,0
1,91,94,98,80,98,98,100,99,97,94,1
0,96,99,8,90,99,83,93,99,97,49,1
0,95,99,77,60,99,78,79,99,99,10,1
0,98,99,29,92,99,79,90,99,99,48,0
0,94,99,100,96,99,78,79,99,99,23,1
0,96,99,64,96,99,78,86,97,99,34,1
0,96,99,87,91,99,78,85,99,99,1,0
1,86,96,17,2,99,97,99,99,93,96,1
1,90,98,8,2,99,83,99,92,99,1,1
1,94,95,50,37,99,91,85,99,98,98,0
1,94,96,29,67,99,95,99,99,99,57,0
1,90,97,77,99,99,95,89,99,98,99,0
1,84,97,100,0,99,95,99,99,99,91,1
1,97,99,87,80,99,77,79,98,99,87,0
0,86,99,0,82,99,77,99,99,97,82,1
0,87,96,100,84,99,81,79,99,86,98,1
0,85,94,17,10,99,84,82,99,95,91,0
0,92,94,42,86,99,89,82,99,98,1,0
0,87,97,8,10,99,88,80,99,99,44,1
0,88,99,0,99,99,84,88,99,95,1,1
0,94,97,98,3,99,98,85,99,88,24,1
0,88,96,98,13,99,99,79,99,87,99,1
0,90,99,50,18,99,97,98,99,97,15,1
0,90,97,98,98,99,99,85,99,92,91,1
0,82,99,98,56,96,83,80,99,94,96,1
0,90,91,64,93,99,89,85,99,89,15,1
0,91,99,29,19,99,87,79,99,99,59,1
0,89,96,64,29,99,81,82,99,97,58,1
0,92,95,50,68,99,90,93,99,98,95,1
0,88,98,42,99,99,89,81,99,99,96,1
0,84,94,87,4,99,97,78,99,94,0,1
0,92,99,77,38,99,78,82,99,99,51,1
0,84,95,29,4,96,87,79,99,97,29,1
0,87,93,50,0,99,93,99,99,93,92,0
1,89,85,50,45,99,99,99,99,94,66,0
0,85,94,42,96,99,99,80,99,87,51,0
0,88,96,77,75,99,99,81,99,97,11,0
0,83,95,100,10,99,84,80,99,97,28,0
0,86,97,50,99,99,99,82,99,99,15,0
0,84,96,0,99,99,98,82,99,83,45,0
0,84,91,17,89,99,97,81,99,95,96,0
0,82,97,50,84,99,97,83,99,95,97,0
0,85,90,100,99,99,99,80,99,97,92,0
0,85,99,100,73,99,99,81,99,96,33,0
0,87,91,29,63,99,99,81,99,94,93,0
0,89,96,17,45,99,91,84,99,99,87,0
0,84,96,98,71,99,97,83,99,97,91,1
1,93,94,0,69,99,92,99,99,97,77,1
1,89,91,77,0,99,90,98,99,98,90,0
1,93,86,87,63,99,99,99,99,87,91,0
1,88,89,98,79,98,99,99,99,97,93,1
0,95,87,87,15,99,99,99,90,96,83,1
0,93,89,100,96,99,95,99,99,86,98,1
0,89,81,98,22,99,99,99,99,90,27,1
0,89,94,50,11,99,93,99,99,94,21,0
0,88,89,42,0,99,99,99,99,92,98,0
0,90,90,42,94,99,99,99,99,82,99,1
0,83,91,17,0,98,98,100,99,84,0,1
0,87,97,87,40,99,99,84,99,99,93,1
0,88,81,29,93,99,99,100,99,92,56,1
1,87,84,29,95,99,99,99,99,88,69,1
0,99,98,8,1,99,80,82,99,99,28,1
0,95,99,100,75,99,77,91,99,99,13,1
0,92,97,0,51,99,83,99,99,97,10,0
0,98,93,98,57,99,88,99,99,96,93,1
0,91,99,64,66,99,79,99,99,92,70,0
0,94,93,4,93,99,90,99,99,97,99,0
1,90,84,100,76,97,85,99,99,92,2,1
