trackIsexplicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,songIsLiked
1,423,456,2000,-8450,57,381,16,120,148,112984,0
1,559,578,8000,-9540,151,790,0,324,239,79938,1
0,794,320,1000,-12920,173,853,134,112,241,174088,0
1,549,725,1000,-7239,397,53,0,148,547,108822,0
1,480,610,0,-7042,305,45,0,313,297,90034,1
1,794,766,9000,-3894,37,13,0,78,550,127007,0
1,520,538,1000,-8109,206,367,1,119,177,141894,0
1,689,746,0,-5971,54,77,0,291,376,113569,1
1,843,435,8000,-8442,178,470,0,147,190,120058,1
1,742,553,8000,-8980,419,389,0,69,508,84931,1
1,836,670,5000,-6907,230,8,0,83,556,107018,0
0,610,31,9000,-15186,48,896,4,108,370,151964,1
0,831,360,0,-8073,52,136,2,70,601,75014,0
0,699,503,5000,-9922,88,391,12,99,54,114860,0
0,875,599,9000,-9077,138,33,14,113,112,152061,1
0,400,119,5000,-19337,34,982,800,378,245,130389,1
0,367,74,8000,-18779,35,988,968,113,315,101117,0
0,387,127,0,-17900,51,987,902,112,122,76361,1
0,527,148,2000,-18263,41,883,762,127,348,119551,1
0,458,53,10000,-20472,28,863,138,110,155,96864,1
0,697,211,8000,-17148,35,974,858,111,393,111868,1
0,508,55,7000,-22714,40,944,691,99,264,97397,1
0,743,504,5000,-12236,72,7,825,106,487,126026,1
0,628,191,5000,-16865,40,966,924,89,102,112496,1
0,459,214,9000,-18102,37,848,865,274,79,109113,0
0,461,72,7000,-23646,36,972,880,126,193,114931,0
0,542,122,5000,-18411,36,976,856,116,164,108286,0
0,345,133,2000,-18314,33,949,559,80,74,79078,0
0,562,32,0,-23343,40,951,906,105,306,98838,0
0,508,173,9000,-16946,41,928,951,122,197,62343,0
0,316,85,5000,-20584,35,971,821,106,116,59622,0
0,331,169,9000,-18095,37,956,951,121,114,171169,0
0,609,75,5000,-20404,37,982,819,115,154,107167,0
0,413,216,7000,-18276,32,972,933,366,120,121925,0
0,521,56,10000,-18520,31,952,229,104,68,80391,1
0,369,57,11000,-21441,45,925,143,118,104,183354,0
0,762,604,7000,-5296,110,114,0,27,847,168007,1
0,729,461,8000,-6412,349,476,4,149,485,82188,1
0,535,568,9000,-6205,30,364,0,186,440,79951,1
0,746,741,11000,-5459,56,268,0,644,720,119983,1
0,762,468,10000,-7969,46,934,102,115,347,119880,1
0,622,203,0,-15021,27,845,0,128,295,99814,0
0,739,441,10000,-7654,60,598,0,176,442,124081,1
0,378,242,10000,-12409,34,948,0,131,406,130019,0
1,576,714,6000,-5247,59,395,0,115,321,144981,0
1,548,765,6000,-4463,52,646,3,522,573,129933,1
1,609,305,4000,-14037,53,653,0,103,222,113818,0
0,666,317,5000,-10644,32,873,0,111,359,117676,0
1,568,199,9000,-9601,101,905,0,131,329,83827,1
1,567,263,5000,-13510,103,891,0,183,247,111860,0
0,669,373,1000,-7349,38,774,0,326,394,127940,1
1,857,331,1000,-10264,219,807,0,106,261,140949,1
1,511,890,4000,-4440,94,12,0,91,534,158990,1
0,516,802,1000,-5904,263,30,0,323,393,95185,1
0,777,657,11000,-5997,362,98,0,50,865,89798,0
0,675,608,5000,-6884,264,324,0,105,416,139954,0
0,908,650,4000,-6815,44,31,0,303,282,110016,0
0,482,344,0,-10104,115,893,0,110,221,79284,0
0,636,808,4000,-6276,134,410,0,168,596,119819,0
0,679,623,7000,-5352,215,296,0,102,717,81334,0
0,659,883,7000,-4120,161,272,0,382,728,92053,1
0,438,525,2000,-7776,76,161,0,90,411,174150,1
0,654,783,5000,-5008,69,63,0,717,411,90017,1
0,758,798,6000,-4070,90,153,0,41,934,106990,1
0,717,788,0,-5498,195,181,0,121,527,113022,1
0,637,648,7000,-5635,232,199,0,80,567,78321,0
0,647,673,11000,-7584,182,18,0,388,297,90013,1
0,739,705,1000,-6036,58,237,0,121,779,99996,1
0,564,863,0,-4564,106,106,0,290,823,82865,1
0,506,535,9000,-6583,70,156,0,360,658,69656,0
1,752,800,4000,-6402,130,36,0,130,409,115027,1
0,692,852,9000,-4878,103,84,0,116,745,132087,0
0,610,546,0,-7607,111,434,0,74,339,81999,1
0,634,730,6000,-5414,64,463,0,66,843,83974,1
0,805,682,0,-5799,103,233,0,121,725,109983,1
0,665,615,2000,-6301,131,400,0,199,682,79971,1
0,564,736,7000,-5709,60,33,0,71,655,79997,0
0,453,841,7000,-5612,359,440,0,697,634,99400,1
0,734,491,11000,-7349,166,412,0,198,494,79983,0
0,779,362,0,-10847,47,135,206,111,460,85011,1
0,677,330,2000,-11198,149,474,0,64,336,68985,0
0,583,499,10000,-10086,26,591,10,330,342,155199,1
1,739,627,0,-8608,171,45,0,159,542,74962,1
0,828,182,1000,-13066,166,754,70,150,231,147279,0
0,695,558,5000,-9516,178,641,0,104,762,149094,1
0,817,914,9000,-6264,201,336,0,49,128,94006,0
1,596,745,7000,-8182,365,487,0,129,367,74836,1
0,476,703,2000,-7792,290,51,0,75,595,84072,0
0,664,701,7000,-6449,55,273,0,89,195,109953,1
1,705,648,6000,-5824,36,16,0,106,376,109943,1
0,457,747,11000,-8028,303,93,0,90,178,164085,1
1,562,900,4000,-5302,129,25,0,222,639,87923,1
0,534,464,4000,-9753,48,753,0,113,314,140183,1
1,395,780,1000,-5093,207,27,0,122,459,192227,0
1,352,411,10000,-9279,147,718,0,109,446,197773,0
0,755,792,11000,-5466,32,17,0,234,965,123025,1
1,653,594,6000,-7178,47,236,0,104,586,90109,0
1,720,664,6000,-6537,142,128,0,86,532,104963,0
1,718,601,3000,-6202,55,110,0,134,226,77557,0
1,577,698,6000,-5413,30,0,0,151,250,106956,0
1,689,715,6000,-6272,28,93,0,213,592,105963,0
1,672,476,4000,-7856,31,417,0,115,265,120030,0
0,574,802,5000,-7064,37,76,0,286,209,163921,1
0,738,824,9000,-7113,119,116,0,75,652,100061,1
0,718,664,0,-7819,115,170,0,68,449,45354,1
1,780,661,2000,-7624,266,249,0,118,794,136024,1
1,670,695,11000,-9162,65,363,0,51,927,167935,1
1,708,678,9000,-7492,129,299,0,140,211,128037,1
0,734,551,0,-8069,58,614,0,106,221,114975,1
0,609,474,7000,-8481,37,750,0,118,702,101243,1
0,624,763,9000,-6028,80,3,0,105,467,124972,1
0,661,616,7000,-12373,85,381,0,115,736,109987,1
1,678,754,6000,-8282,459,233,0,107,941,89719,1
0,625,498,9000,-10561,33,584,0,68,315,105019,1
0,475,618,0,-7928,209,673,0,82,285,71551,0
1,605,613,9000,-5532,29,541,0,184,507,118078,1
0,789,470,11000,-8670,95,660,0,439,632,111982,1
1,927,478,9000,-11360,319,644,0,81,559,139951,0
1,773,470,2000,-7930,29,15,0,85,399,94995,1
0,764,705,3000,-5279,27,37,0,94,672,101003,1
1,412,881,2000,-3502,87,0,0,923,359,165012,1
0,802,325,10000,-9327,46,164,162,156,648,110995,1
1,650,667,7000,-6227,85,180,0,477,667,88980,0
0,776,593,7000,-10535,252,327,6,186,247,94970,1
0,761,525,11000,-6900,94,440,0,92,531,80870,1
0,769,403,0,-15134,51,197,0,264,567,118007,1
1,649,553,11000,-7139,34,194,0,178,322,149004,0
0,683,534,4000,-10348,189,519,247,148,284,150469,1
0,742,289,5000,-7833,115,543,0,228,710,147986,1
0,659,609,5000,-7916,38,158,0,181,668,87062,0
0,521,125,9000,-17832,239,751,2,265,52,111554,0
0,802,704,0,-7896,43,181,0,284,920,121850,0
1,749,388,5000,-11227,136,746,0,129,589,77095,0
0,558,776,9000,-6868,179,330,0,410,247,128064,0
1,656,776,10000,-8747,273,282,0,328,593,122058,1
0,409,647,10000,-7698,212,303,0,332,523,196426,1
0,869,300,9000,-15121,43,402,85,71,874,117988,1
1,780,563,7000,-6985,61,317,0,480,903,135059,1
